FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Pat Connaughton,Mil,G,28.54,23,23.7,49.4,10.7,8.8,13,0.846,24,0.75,95,0.389,0.618,0.633,6.9,4.4,9.9,0.9,4.8,0.43,0.26,0.52,5.1,129,107.6
Bryn Forbes,Mil,G,28,20,13.7,28.5,19.2,5.7,8,0.75,23,0.565,89,0.371,0.558,0.567,6.6,1.4,5.3,0.3,3.1,0.1,0.1,0.35,4.1,110.1,110.5
Jrue Holiday,Mil,G,31.11,23,39.6,82.6,22.1,11.9,56,0.714,247,0.466,142,0.303,0.461,0.482,17.3,5.7,7.8,8.7,31.4,1.65,0.43,2.43,9.6,108.9,108.4
Brook Lopez,Mil,C,33.3,23,29,60.4,16.8,9.6,43,0.86,145,0.662,72,0.319,0.601,0.632,13,5.9,10.9,0.3,1.3,0.74,1.48,1.09,3.9,122.1,106.8
Khris Middleton,Mil,F,29.94,23,40.1,83.5,26.4,13,97,0.887,277,0.498,175,0.343,0.504,0.548,23.6,7.6,10.1,5.1,19.6,1.52,0.17,3.22,9.7,107.8,106.3
P.J. Tucker,Mil,F,36.21,23,29.6,61.7,6.9,9.1,4,0.75,39,0.487,59,0.322,0.485,0.491,4.3,4.8,8.7,1.1,4.5,0.96,0.13,0.43,3.8,119.6,103
Nicolas Batum,Lac,G-F,32.6,19,29.2,60.8,10.5,4.8,23,0.826,37,0.676,72,0.389,0.615,0.642,8.1,5.5,11,2.1,9.8,1.26,0.53,0.32,6.2,140.3,109
Paul George,Lac,F,31.22,19,40.9,85.1,30.5,13.2,154,0.844,222,0.514,152,0.336,0.509,0.578,26.9,9.6,13.6,5.4,21.8,1,0.47,3.53,10.9,112.6,105.4
Reggie Jackson,Lac,G,31.26,19,32.7,68.2,22.3,9.4,41,0.878,110,0.582,142,0.408,0.599,0.626,17.8,3.2,5.6,3.4,16.9,0.95,0.16,1.47,7.1,122.3,108.2
Terance Mann,Lac,G-F,24.75,19,19.9,41.4,14.8,3.3,28,0.714,67,0.567,37,0.432,0.596,0.619,7.6,2.7,8,0.7,5.5,0.53,0.26,0.21,4.9,131.5,104.8
Marcus Morris Sr.,Lac,F,31.88,19,31.8,66.2,17,3.2,32,0.75,104,0.481,96,0.375,0.52,0.542,12.2,4.3,7.8,1.5,6.9,0.53,0.53,0.37,5.4,115.7,108
Deandre Ayton,Pho,C,23,22,36.4,75.8,16.3,9.8,53,0.736,234,0.658,0,0,0.658,0.674,15.8,11.8,18.1,1.1,4.7,0.82,1.09,1.27,6.5,131,103.7
Devin Booker,Pho,G,24.72,22,40.4,84.1,31.8,12.9,147,0.905,337,0.499,137,0.321,0.494,0.558,27.3,5.6,7.8,4.5,18.3,0.82,0.18,3.64,8.7,105.3,106.5
Mikal Bridges,Pho,F,24.89,22,32.1,66.9,14.2,7.8,28,0.893,95,0.6,95,0.368,0.576,0.603,11.1,4.3,7.4,1.6,7.1,1,0.68,0.77,5.3,120.2,109.4
Torrey Craig,Pho,F,30.59,22,12.1,25.2,15.6,11,13,0.615,38,0.447,37,0.405,0.527,0.539,4,2.9,13.2,0.4,4.6,0.05,0.36,0.45,5.5,109.5,101.8
Jae Crowder,Pho,F,31.04,22,33.2,69.1,13.7,8.7,35,0.886,42,0.524,142,0.38,0.56,0.594,10.8,6.1,10.2,1.9,7.5,0.86,0.82,0.86,6,117,104
Cameron Payne,Pho,G,26.95,22,19,39.6,24.6,10.7,18,0.889,124,0.46,69,0.362,0.49,0.51,9.3,2.5,7.3,3.2,25.5,0.77,0.5,1.09,8.9,105.7,104.4
Bogdan Bogdanovic,Atl,G,28.92,18,33.2,69.2,21,9.5,17,0.706,106,0.472,143,0.329,0.484,0.493,14.1,4.2,6.8,2.9,13.4,1.61,0.28,1.5,6.7,100.7,106.6
Clint Capela,Atl,C,27.18,18,31.6,65.8,13.3,10.5,39,0.436,136,0.603,0,0,0.603,0.591,10.1,11.2,19.3,0.9,4.5,0.67,1.06,1,5.9,122.4,104.7
John Collins,Atl,F-C,23.83,18,32,66.7,17,10.4,36,0.833,126,0.635,56,0.357,0.604,0.632,13.9,8.7,14.9,0.9,4.4,0.44,0.61,1.28,6,121.3,103.8
Danilo Gallinari,Atl,F,32.95,18,24.6,51.2,21.2,7.1,52,0.942,90,0.444,84,0.405,0.523,0.587,12.8,3.9,8.6,0.8,4.9,0.33,0.17,0.83,5.6,116.4,105.6
Kevin Huerter,Atl,G-F,22.9,18,31,64.6,16.4,9.2,17,0.706,85,0.518,95,0.347,0.519,0.531,11.1,3.8,6.7,2.8,13.6,0.78,0.89,1.06,6.3,110.1,107.7
Onyeka Okongwu,Atl,F-C,20.61,18,9.2,19.2,11.8,9,21,0.667,30,0.567,1,0,0.548,0.596,2.7,2.7,15.8,0.1,1.7,0.28,0.72,0.22,3.9,131.1,96.7
Lou Williams,Atl,G,34.73,18,15.4,32,23,15.3,27,0.963,80,0.463,30,0.433,0.514,0.57,7.7,1.4,5.1,2.2,22.3,0.67,0.06,1.22,7.5,109.5,110.4
Cameron Johnson,Pho,F,25.38,21,21.1,43.9,14.3,10.8,32,0.906,36,0.611,74,0.446,0.65,0.693,8.2,3.1,8.3,0.8,5,0.9,0.19,0.71,5.2,129.5,107.8
Giannis Antetokounmpo,Mil,F,26.62,21,38.1,79.3,31.8,10.8,206,0.587,369,0.642,70,0.186,0.584,0.599,30.2,12.8,18,5.1,24.3,1,1.19,3.05,13.2,117.9,103.1
Ivica Zubac,Lac,C,24.34,17,17.7,36.9,14.6,16.9,49,0.796,57,0.596,0,0,0.596,0.681,6.3,5.8,19,0.4,3.3,0.12,0.71,0.94,5.5,135.4,103.4
Patrick Beverley,Lac,G,33.02,17,19,39.6,11.3,5.1,14,0.857,31,0.516,37,0.351,0.522,0.56,4.9,2.4,7.3,1.4,10.3,0.71,0.71,0.24,5.4,127.5,104
Chris Paul,Pho,G,36.21,20,34.2,71.2,24.8,11.6,65,0.877,235,0.511,65,0.446,0.545,0.584,19.2,3.5,5.7,8.6,39.5,1.15,0.15,2.15,9.7,121.8,108.3
Bobby Portis,Mil,F,26.44,20,18.3,38.1,20,5.3,25,0.72,99,0.525,52,0.346,0.523,0.543,8.8,5,14.7,0.6,4.8,0.7,0.35,0.45,6.5,116.5,103.4
Trae Young,Atl,G,22.84,16,37.7,78.6,35.4,13.3,134,0.866,215,0.488,144,0.313,0.481,0.551,28.8,2.8,4.1,9.5,44.8,1.25,0,4,9.7,112.7,111.6
Luke Kennard,Lac,G,25.07,15,14.6,30.5,14.6,4.4,2,0.5,14,0.714,51,0.412,0.638,0.638,5.6,0.9,3.7,0.5,4.7,0.13,0,0.2,3.7,126.7,112
