,Fighter,Referee,Date,Location,Winner,Title_bout,Weight_class,Avg_KD,Avg_opp_KD,Avg_SIG_STR_pct,Avg_opp_SIG_STR_pct,Avg_TD_pct,Avg_opp_TD_pct,Avg_SUB_ATT,Avg_opp_SUB_ATT,Avg_REV,Avg_opp_REV,Avg_SIG_STR_landed,Avg_opp_SIG_STR_landed,Avg_TOTAL_STR_landed,Avg_opp_TOTAL_STR_landed,Avg_TD_landed,Avg_opp_TD_landed,Avg_HEAD_landed,Avg_opp_HEAD_landed,Avg_BODY_landed,Avg_opp_BODY_landed,Avg_LEG_landed,Avg_opp_LEG_landed,Avg_DISTANCE_landed,Avg_opp_DISTANCE_landed,Avg_CLINCH_landed,Avg_opp_CLINCH_landed,Avg_GROUND_landed,Avg_opp_GROUND_landed,Avg_CTRL_time(seconds),Avg_opp_CTRL_time(seconds),Total_time_fought(seconds),Total_rounds_fought,Total_title_bouts,Current_win_streak,Current_lose_streak,Longest_win_streak,Wins,Losses,Draw,Win_by_Decision_Majority,Win_by_Decision_Split,Win_by_Decision_Unanimous,Win_by_KO/TKO,Win_by_Submission,Win_by_TKO_Doctor_Stoppage,Height_cms,Reach_cms,Weight_lbs,Age,Match_ID
0,Gustavo Lopez,1,20/03/2021,1,0,1,1,0,0,0.42,0.495,0.33,0.36,0.5,1,0,0,20,45,41,64,1,6.5,11,27.5,7,9,2,8.5,12.5,17.5,4.5,3,3,24.5,34,277.5,531.5,4,0,0,1,1,1,1,0,0,0,0,0,1,0,165.1,170.18,135,31,4347
1,Roman Dolidze,2,20/03/2021,1,0,1,2,0.5,0,0.66,0.305,0.3,0.5,1.5,0,0,0,35,16.5,68.5,29,1.5,0.5,20,7.5,8,3,7,6,30,15.5,0.5,0.5,4.5,0.5,219.5,24.5,577.5,4,0,2,0,2,2,0,0,0,1,0,1,0,0,187.96,193.04,205,32,2867
2,Marcus LeVesseur,3,05/10/2012,2,1,1,3,0,0,0.5,0.14,1,0,1,2,0,1,7,1,8,10,2,0,6,1,0,0,1,0,3,1,1,0,3,0,130,2,185,1,0,0,1,0,0,1,0,0,0,0,0,0,0,175.26,177.8,155,30,3106
3,Hacran Dias,4,18/05/2013,3,0,1,4,0,0,0.43,0.38,0.5,0,0,1,0,0,19,19,108,36,5,0,8,10,2,6,9,3,8,11,0,4,11,4,541,67,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,172.72,175.26,155,28,3765
4,Daron Cruickshank,5,25/07/2015,4,0,1,3,0.125976563,0,0.382294922,0.464492188,0.28515625,0.539306641,0.078125,1.150390625,0.001953125,0.000976563,22.55761719,27.04785156,25,32.32910156,1.39453125,0.633789063,12.94824219,12.59277344,4.056640625,7.595703125,5.552734375,6.859375,16.61914063,20.17773438,3.849609375,2.069335938,2.088867188,4.80078125,43.48925781,95.50585938,504.8759766,26,0,2,0,2,6,5,0,0,1,2,3,0,0,172.72,182.88,155,30,672
5,Paulo Thiago,2,12/06/2010,5,0,1,5,1.125,0,0.3825,0.24875,0.125,0.6875,1.125,0.375,0.25,0.25,14.5,10.375,21.25,47.625,0.5,1.25,8.625,6.125,3,0.75,2.875,3.5,8.375,5.5,2.25,1.875,3.875,3,108.125,199.375,570.625,9,0,1,0,2,3,1,0,0,0,1,1,1,0,180.34,187.96,170,29,3488
6,Cristiane Justino,6,27/07/2019,6,1,1,6,0.09375,1,0.4278125,0.49,0.28125,0.078125,0,0,0,0,32.5625,15.75,37.125,19.71875,0.3125,0.3125,19.3125,11.5625,9.4375,2.15625,3.8125,2.03125,21.625,13.96875,5.78125,1.53125,5.15625,0.25,24.375,65.03125,325.5625,13,4,5,0,5,5,1,0,0,0,1,4,0,0,172.72,172.72,145,34,2030
7,Ryan Bader,7,19/11/2011,7,1,1,7,0.140625,0.5,0.2390625,0.3553125,0.09390625,0.25,0.03125,1.28125,0,0,12.546875,13.421875,19.59375,19.03125,0.984375,0.5,7.90625,7.015625,1.390625,3.703125,3.25,2.703125,8.484375,9.84375,1.671875,0.5625,2.390625,3.015625,67.4375,70.234375,400.46875,16,1,5,0,5,5,2,0,0,0,3,2,0,0,187.96,187.96,205,28,4281
8,Macy Chiasson,8,20/03/2021,1,1,1,8,0.125,0,0.535625,0.57875,0.185,0.16625,0.125,0.1875,0.25,0,57.9375,28.4375,105.625,44.25,1.5,0.625,31.375,22.625,26.1875,4.9375,0.375,0.875,11,13.9375,28.8125,10.75,18.125,3.75,390.25,156.3125,764,11,1,3,0,3,4,1,0,0,0,1,2,1,0,180.34,182.88,135,29,1771
9,Grant Dawson,1,20/03/2021,1,1,1,3,0,0,0.515,0.47375,0.435,0.25,1.25,0.625,0,0.25,40.75,25.125,93.5,46.75,2.625,0.25,23.125,14.625,4.5,8.25,13.125,2.25,29.625,20.25,2,2.75,9.125,2.125,431.75,17.375,717.875,10,0,4,0,4,4,0,0,0,0,2,0,2,0,177.8,182.88,145,27,2466
10,Max Griffin,9,20/03/2021,1,1,1,5,0.046875,0.125,0.459277344,0.4046875,0.3221875,0.068867188,0.189453125,0,0.283203125,0,60.11328125,50.54882813,78.32421875,58.5078125,1.453125,0.28515625,38.81445313,37.83007813,14.41992188,7.1796875,6.87890625,5.5390625,55.88867188,45.86914063,3.763671875,3.966796875,0.4609375,0.712890625,148.5078125,80.09765625,809.53125,28,0,0,1,1,4,6,0,1,0,1,2,0,0,180.34,193.04,170,35,1525
11,Kevin Holland,2,20/03/2021,1,0,1,2,0.15625,0,0.791582031,0.850585938,0.269199219,0.393398438,0.029296875,0.080078125,0.0234375,0.041015625,26.078125,11.953125,47.79101563,17.46484375,0.529296875,1.451171875,19.921875,5.615234375,2.685546875,2.8203125,3.470703125,3.517578125,14.09375,7.177734375,2.984375,1.353515625,9,3.421875,69.5,82.31640625,267.5175781,23,0,0,1,5,8,2,0,0,2,1,3,2,0,190.5,205.74,185,28,2982
12,Gunnar Nelson,2,11/07/2015,1,1,1,5,0,0.5,0.56875,0.408125,0.59375,0.5,0.5,0,0,0,34.9375,92,39.8125,115.0625,1.0625,0.5,26.0625,43.8125,7.25,31.9375,1.625,16.25,28.5,72.5,2.875,15.9375,3.5625,3.5625,76.125,32.5,1001.125,12,0,4,0,4,4,1,0,0,0,1,0,3,0,180.34,182.88,170,26,3728
13,Liz Carmouche,9,04/04/2015,8,1,1,8,0,0,0.5425,0.4525,0.73,0.57,0.25,1.25,0,0,26.5,28.125,70.75,65.125,3.125,1,13.375,16.625,3.375,3.375,9.75,8.125,14.375,14.625,4.75,5.125,7.375,8.375,265,254.5,778.25,9,1,0,1,1,1,3,0,0,0,0,1,0,0,167.64,167.64,125,31,5463
14,Ryan Spann,8,13/03/2021,1,1,1,7,1.0625,0,0.473125,0.663125,0.60125,0.105,0.5,0.0625,0.0625,0.5,22.0625,31.625,24.0625,46.875,1.5625,0.5,18.5625,24.75,3.4375,2.5,0.0625,4.375,16.5625,16.125,2.1875,3.625,3.3125,11.875,128.75,50.9375,423.3125,10,0,4,0,4,4,1,0,0,1,1,1,1,0,195.58,200.66,205,29,5167
15,Soa Palelei,9,10/05/2014,9,1,1,9,0,0,0.7375,0.4425,1,0.05,0,0.5,0,0,18.5,24.75,49,61.25,1.75,0.25,13,19,3.5,4.25,2,1.5,2.75,9,5.75,15.75,10,0,243.75,84.5,439,7,0,0,1,2,2,1,0,0,0,0,2,0,0,193.04,205.74,265,36,3153
16,Belal Muhammad,2,13/03/2021,1,0,1,5,0,0.064941406,0.465732422,0.374169922,0.176464844,0.063125,0.140625,0.00390625,0,0.005859375,98.19970703,64.88037109,112.0332031,66.98388672,1.451660156,0.12890625,79.14746094,33.09570313,15.45458984,15.51318359,3.59765625,16.27148438,88.39453125,59.97167969,8.303222656,4.734863281,1.501953125,0.173828125,162.1787109,8.647949219,876.0532227,34,0,0,1,4,9,3,0,0,1,6,1,1,0,180.34,182.88,170,32,5591
17,Gabriel Benitez,4,13/06/2015,10,1,1,4,0,0,0.37,0.5,0,0.25,5,0,0,0,23,18,32,35,0,1,15,13,5,1,3,4,19,8,4,3,0,7,25,367,630,3,0,1,0,1,1,0,0,0,0,0,0,1,0,172.72,180.34,155,26,154
18,Darren Stewart,2,13/03/2021,1,0,1,2,0.0234375,0,0.451445313,0.503193359,0.323574219,0.314394531,0.25,0.015625,0,0.125,42.63085938,47.14648438,66.49609375,98.21484375,1.673828125,1.258789063,24.19628906,33.79882813,4.48828125,6.638671875,13.94628906,6.708984375,25.53125,37.19042969,6.209960938,8.015625,10.88964844,1.940429688,142.8525391,207.1044922,715.3398438,24,0,0,4,3,5,6,0,0,1,1,2,1,0,182.88,187.96,185,30,1884
19,Emily Whitmire,10,29/06/2019,2,0,1,10,0,0,0.52,0.3875,0.625,0.25,0.5,0.25,0.25,0,17,14,35,20.75,0.75,0.25,11,7.5,2.25,3.25,3.75,3.25,13,13.25,1,0.25,3,0.5,107.5,21.75,288.5,5,0,0,1,2,2,1,0,0,0,1,0,1,0,165.1,160.02,115,28,5827
20,Ashley Yoder,11,13/03/2021,1,0,1,10,0.015625,0,0.496640625,0.61671875,0.3271875,0.0909375,1.59375,0.1484375,0.1796875,0.640625,33.734375,42.640625,121.1953125,79.1875,1.375,0.34375,22.0625,23.3359375,6.7421875,8.8125,4.9296875,10.4921875,19.734375,24.6796875,2.8671875,12.7734375,11.1328125,5.1875,406.9375,182.7734375,900,24,0,0,3,2,3,5,0,0,1,2,0,0,0,170.18,175.26,115,33,5123
21,Davey Grant,1,13/03/2021,1,1,1,1,0.5,0.625,0.464375,0.398125,0.48375,0.048125,0.5,0.34375,0.28125,1.0625,50.0625,41.9375,59.34375,52.40625,2.65625,0.3125,28.625,27.8125,13.96875,11.71875,7.46875,2.40625,44.4375,37.625,2.46875,1.5,3.15625,2.8125,178.9375,86.875,701.4375,15,1,0,1,2,3,3,0,0,1,1,1,0,0,172.72,175.26,135,35,5852
22,Gavin Tucker,11,13/03/2021,1,0,1,4,0,0.3125,0.529375,0.4075,0.5,0.160625,1.3125,0.3125,0.375,0.25,84.25,64.625,96.0625,95.875,4.4375,0.5,54.3125,37.9375,23.1875,23.25,6.75,3.4375,64.0625,39.375,17.5625,17.75,2.625,7.5,225.5,58.875,837.875,15,0,1,0,3,4,1,0,0,0,2,0,2,0,167.64,167.64,145,34,5619
23,Johnny Walker,12,02/02/2019,11,1,1,7,1,0,0.9,0.44,0,0,0,0,0,0,10,4,10,5,0,0,7,3,1,0,2,1,5,1,3,3,2,0,4,5,117,1,0,1,0,1,1,0,0,0,0,0,1,0,0,198.12,208.28,205,26,5777
24,Jacare Souza,13,14/05/2016,12,1,1,2,0.03125,0.5,0.57625,0.4603125,0.4115625,0,0.59375,0,0.03125,0.0625,22.625,29.34375,35.34375,42.59375,1.40625,0,12.03125,22.875,7.9375,2.75,2.65625,3.71875,14.96875,17.4375,1.15625,0.90625,6.5,11,218.34375,61.90625,665.25,12,0,5,0,5,5,1,0,0,0,1,1,3,0,185.42,182.88,185,36,4801
