Number,Module,Q1.a,Q1.b,Q2,Q3,Total
c21066841,CMT309,20,17,30,15,82
c21079565,CMT309,18,20,29.5,16,83.5
c21096546,CMT309,15,11,18,14,58
c1721659,CMT309,2,0,2,5,9
c2099034,CMT309,0,0,0,0,0
c1924792,CMT309,0,0,0,0,0
c21114562,CMT309,18,20,30,30,98
c2016329,CMT309,14,8,24,18,64
c21088472,CMT309,14,15,29,30,88
c1821017,CMT309,18,13,29,20,80
c21036048,CMT309,16,16,26.5,27,85.5
c2062079,CMT309,18,16,26.5,23,83.5
c21098366,CMT309,20,17,28,19,84
c21119371,CMT309,20,20,29,22,91
c21105983,CMT309,18,17,25,15,75
c21042563,CMT309,18,20,25,17,80
c21088517,CMT309,18,16,28,26,88
c21119910,CMT309,16,11,20,25,72
c21084626,CMT309,18,19,30,7,74
c21099797,CMT309,0,0,25,5,30
c21120688,CMT309,18,4,30,28,80
c21112979,CMT309,14,20,30,27,91
c21059234,CMT309,14,18,27,19,78
c1621012,CMT309,18,18,30,30,96
c21122194,CMT309,14,20,30,22,86
c2028275,CMT309,14,12,29,0,55
c2053922,CMT309,18,17,28,28,91
c21012740,CMT309,20,20,30,22,92
c21117781,CMT309,18,16,30,10,74
c2067755,CMT309,18,16,30,22,86
c21041593,CMT309,16,14,3,5,38
c1999659,CMT309,18,18,30,22,88
c2028266,CMT309,10,18,27.5,16,71.5
c21126212,CMT309,12,14,27,9,62
c21103917,CMT309,12,18,29,19,78
c21082686,CMT309,20,19,30,22,91
c21111199,CMT309,20,19,30,25,94
c2082962,CMT309,16,13,28,20,77
c1134565,CMT309,20,19,22,12,73
c21092483,CMT309,12,18,23,20,73
c21099593,CMT309,18,18,28,19,83
c21112921,CMT309,20,15,24,12,71
c21117247,CMT309,0,0,0,0,0
c21023148,CMT309,18,18,26,22,84
c21083478,CMT309,18,16,27,27,88
c1845089,CMT309,20,20,30,22,92
c21084078,CMT309,20,20,30,22,92
c21102950,CMT309,18,12,30,15,75
c21017757,CMT309,8,16,26,16,66
c1888429,CMT309,20,19,30,22,91
c1826277,CMT309,16,18,30,22,86
c21103765,CMT309,12,18,28,10,68
c21044240,CMT309,20,20,30,28,98
c21116945,CMT309,20,18,26,9,73
c2092802,CMT309,18,13,28,0,59
c21109744,CMT309,18,18,27,9,72
c1861964,CMT309,6,8,15,5,34
c21117851,CMT309,0,0,2,5,7
c21102662,CMT309,16,17,28,20,81
c21098035,CMT309,16,18,26,28,88
c21127927,CMT309,18,19,30,17,84
c21103850,CMT309,20,20,30,22,92
c2079194,CMT309,18,19,29,22,88
c1647806,CMT309,10,16,27,15,68
c2030273,CMT309,14,16,27,16,73
c1764549,CMT309,20,19,28,19,86
c21092663,CMT309,8,12,0,5,25
c21107597,CMT309,10,14,26,14,64
c21088486,CMT309,20,16,27,19,82
c21032168,CMT309,10,12,17,5,44
c2034863,CMT309,16,12,26.5,23,77.5
c21112778,CMT309,20,16,30,22,88
c21122684,CMT309,14,10,2,16,42
c1831146,CMT309,16,12,27,17,72
c21120419,CMT309,16,0,27,17,60
c21049541,CMT309,20,20,30,30,100
c2023373,CMT309,16,17,27,25,85
c2033088,CMT309,18,16,28,18,80
c1992365,CMT309,16,16,27,19,78
c21036267,CMT309,16,17,26.5,10,69.5
c21072217,CMT309,18,20,30,22,90
c2038514,CMT309,18,20,22,16,76
c2060377,CMT309,20,18,28,15,81
c1623198,CMT309,20,19,29.5,20,88.5
c21122296,CMT309,0,0,0,0,0
c2049783,CMT309,14,6,29.5,17,66.5
c21111133,CMT309,20,20,30,15.5,85.5
c21111954,CMT309,20,15,29.5,22,86.5
c21078806,CMT309,14,8,11,19,52
c21109714,CMT309,17,20,24,28,89
