Number,P1.1,P1.2,P1.3,P2.1,P2.2.1,P2.2.2,P2.2.3,P2.2.4,P1 - Total,P2 - Total,Overall,Proj. Overall,P1.1. - Comments,P1.2. - Comments,P1.3. - Comments,P2.1. - Comments,P2.2.1. - Comments,P2.2.2. - Comments,P2.2.3. - Comments,P2.2.4. - Comments
c0000000,10.00,12.00,8.00,11.00,9.00,5.00,10.00,5.00,30.00,40.00,70.00,100.00,,,,,,,,
c21066841,10.00,9.30,5.60,7.64,7.56,3.40,10.00,4.25,24.90,32.85,57.75,82.50,1.1. Well done,1.2. Good effort with non ideal coding.,A good try but word-count and peer-revewed references problem,2.1.4. xG calculations are not correct.,2.2.1. correct solution with non-ideal coding. But a good try.,"2.2.2. corect solution with non-ideal coding. But a good try. Also instead of using function arguments team1 and team2, the function uses directly 'Man City' and 'Everton'. Variables should be used.",Well done.,Well done but ROC curves are uncessary.
c21079565,9.04,9.30,8.00,10.04,4.52,1.80,10.00,5.00,26.34,31.36,57.70,82.43,1.1.3. has lowercase problem.,1.2. Good effort with non ideal coding.,Well done,Well done. ,2.2.1.1. correct solution with non-ideal coding. 2.2.1.2. function runs 5+ non-ideal. I stopped execution.,2.2.2. Fully wrong logic. Function defines arguments in the function as well. This is a clear violation of function definition rules.,Well done.,Well done.
c21096546,6.40,7.50,5.00,5.26,1.05,0.25,4.00,0.25,18.90,10.81,29.71,42.44,1.1.1. return type is wrong. 1.1.3. uses wrong logic,1.2.3. and 1.2.4. use wrong logic.,Good try but should have been supported with various references.,2.1.1. no ideal coding and no dropping columns. 2.1.2. and 2.1.4 fully wrong implementation. General lacking documentation,2.2.1. fully wrong implementation,2.2.2 fully wrong implementation or incomplete code.,2.2.3. various missing parts in the solution. No test and training samples created. No constant addition and FRT conversion,Incomplete code.
c1721659,3.72,6.30,4.60,5.24,1.80,3.00,10.00,0.25,14.62,20.29,34.91,49.87,1.1. all uses wrong logic,1.2.1.. 1.2.3. and 1.2.4 use wrong logic.,Maximum word limit violated. A shorter version with various more peer-reviewed references would make it better.,2.1.3 and 2.1.4 use wrong logic. Thus the figures are incorrect.,"2.2.1. unfortunately, the general logic is incorrect.",2.2.2. this function itself is ok.,Well done.,Incomplete code.
c2099034,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Submission,No Submission.,No Submission.,No submission,No Submission.,No Submission.,No submission,No submission.
c1924792,9.04,5.70,4.00,7.80,4.76,3.80,7.36,3.50,18.74,27.22,45.96,65.66,1.1. Well done,1.2.1.. 1.2.3. and 1.2.4 use wrong logic.,Maximum word limit violated. A shorter version with various more peer-reviewed references would make it better.,"2.1.3. and 2.1.4. non-ideal coding. Also, some calculations are wrong in 2.1.4.",2.2.1.1. correct solution with non-ideal coding. But a good try. 2.2.1.2. PolynomialFeatures() not allowed.,2.2.2. this function itself is ok.,2.2.3.1. no contant added to models. 2.2.3.2. function template changed. Df_pred returned and non-ideal coding.,Accuracy values are integers and unneccessary ROC curves plotted. 
c21114562,8.32,12.00,2.40,8.28,8.28,3.40,7.76,4.25,22.72,31.97,54.69,78.13,1.1. Well done,1.2. Well done.,Very shallow discussion and lack of peer reviewed reference usage., 2.1.4. some calculations are wrong in 2.1.4.,2.2.1. well done,2.2.2. polynomial prediction has a problem. It returns 3-0. ,2.2.3.1. calling global variable in funtion. It should be function argument,Well done but ROC curves are uncessary.
c2016329,8.02,11.70,5.60,8.94,2.60,1.80,7.44,4.50,25.32,25.28,50.60,72.28,1.1.3. lowercase problem. And no docstrings,1.2. Good effort.,A good try but word-count and peer-revewed references problem,"2.1.3. Not printing the outcome and axes box is a bit tight. General: triple quoted text should be used after ""def"" keyword.",2.2.1.1. Operation looks generally ok but it returns somehow wrong variables. 2.2.1.2. using PolynomialFeatures is not allowed.,"2.2.2. Original code works, but when I replace the correct variables, it returns error. The reason is probably changing the function arguments. This is not expected and wrong according to the rules.","2.2.3.1. no constant added. 2.2.3.2. assinging predictors in the function. Since df_pref is an argument, it should be set before calling it to a function.",Well done.
c21088472,7.20,8.55,6.60,8.12,6.84,3.40,8.56,4.00,22.35,30.92,53.27,76.10,1.1.1. return type is wrong.,1.2.3. only 1 output returned. Should be 4-6. 1.2.4. wrong logic.,A good try but peer-revewed references problem,2.1.4. xG calculations are not correct.,2.2.1. correct solution with non-ideal coding. But a good try.,"2.2.2. corect solution with non-ideal coding. But a good try. Also instead of using function arguments team1 and team2, the function uses directly 'Man City' and 'Everton'. Variables should be used.",2.2.3.1. no constant added. Lots of unnecessary lines of code exist.,Well done. Lots of unnecessary lines of code exist.
