Player,Pos,Age,Team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,C,22,TOR,6,1,167,25,52,0.481,5,16,0.313,20,36,0.556,0.529,6,10,0.6,8,21,29,6,1,5,9,14,61
Steven Adams,C,28,MEM,7,5,114,9,21,0.429,0,0,,9,21,0.429,0.429,6,11,0.545,15,30,45,15,1,1,4,12,24
Bam Adebayo,C,24,MIA,18,18,614,104,175,0.594,0,1,0,104,174,0.598,0.594,58,76,0.763,37,107,144,48,18,13,38,55,266
Nickeil Alexander-Walker,SG,23,UTA,1,0,5,2,2,1,0,0,,2,2,1,1,1,1,1,0,1,1,1,1,0,0,0,5
Grayson Allen,SG,26,MIL,12,5,305,37,82,0.451,19,48,0.396,18,34,0.529,0.567,7,11,0.636,5,30,35,15,8,4,9,22,100
Jose Alvarado,PG,23,NOP,6,0,117,16,33,0.485,6,16,0.375,10,17,0.588,0.576,10,13,0.769,2,6,8,9,7,1,7,18,48
Kyle Anderson,PF,28,MEM,12,1,221,29,51,0.569,3,12,0.25,26,39,0.667,0.598,11,18,0.611,10,42,52,21,11,7,10,22,72
Giannis Antetokounmpo,PF,27,MIL,12,12,448,140,285,0.491,9,41,0.22,131,244,0.537,0.507,91,134,0.679,26,144,170,81,8,15,54,43,380
Thanasis Antetokounmpo,SF,29,MIL,8,0,20,2,3,0.667,0,0,,2,3,0.667,0.667,1,3,0.333,1,3,4,1,1,0,0,4,5
OG Anunoby,SF,24,TOR,6,6,217,39,82,0.476,14,41,0.341,25,41,0.61,0.561,12,16,0.75,7,17,24,15,6,1,10,18,104
Deandre Ayton,C,23,PHO,13,13,397,105,164,0.64,2,4,0.5,103,160,0.644,0.646,21,33,0.636,33,83,116,22,5,10,19,34,233
Desmond Bane,SG,23,MEM,12,12,428,76,159,0.478,43,88,0.489,33,71,0.465,0.613,30,35,0.857,5,40,45,26,11,9,16,23,225
Dalano Banton,PG,22,TOR,4,0,8,2,2,1,0,0,,2,2,1,1,3,6,0.5,2,0,2,1,1,0,1,0,7
Scottie Barnes,PF,20,TOR,4,3,133,18,42,0.429,2,12,0.167,16,30,0.533,0.452,13,16,0.813,7,29,36,17,4,1,5,12,51
Will Barton,SG,31,DEN,5,5,172,27,66,0.409,11,28,0.393,16,38,0.421,0.492,4,6,0.667,5,23,28,14,4,1,10,11,69
Charles Bassey,C,21,PHI,3,0,12,1,2,0.5,0,0,,1,2,0.5,0.5,0,1,0,1,4,5,1,0,1,0,1,2
Malik Beasley,SG,25,MIN,6,0,119,19,44,0.432,8,25,0.32,11,19,0.579,0.523,5,6,0.833,2,18,20,4,2,1,7,9,51
