TAX,CRIM,INDUS,AGE,PTRATIO,LSTAT,DIS,RM,NOX,B,MEDV
296,0.00632,2.31,65.2,15.3,4.98,4.09,6.575,0.538,396.9,24.0
242,0.02731,7.07,78.9,17.8,9.14,4.9671,6.421,0.469,396.9,21.6
242,0.02729,7.07,61.1,17.8,4.03,4.9671,7.185,0.469,392.83,34.7
222,0.03237,2.18,45.8,18.7,2.94,6.0622,6.998,0.458,394.63,33.4
222,0.02985,2.18,58.7,18.7,5.21,6.0622,6.43,0.458,394.12,28.7
311,0.14455,7.87,96.1,15.2,19.15,5.9505,6.172,0.524,396.9,27.1
311,0.21124,7.87,100.0,15.2,29.93,6.0821,5.631,0.524,386.63,16.5
311,0.22489,7.87,94.3,15.2,20.45,6.3467,6.377,0.524,392.52,15.0
311,0.11747,7.87,82.9,15.2,13.27,6.2267,6.009,0.524,396.9,18.9
311,0.09378,7.87,39.0,15.2,15.71,5.4509,5.889,0.524,390.5,21.7
307,0.62976,8.14,61.8,21.0,8.26,4.7075,5.949,0.538,396.9,20.4
307,0.62739,8.14,56.5,21.0,8.47,4.4986,5.834,0.538,395.62,19.9
307,1.05393,8.14,29.3,21.0,6.58,4.4986,5.935,0.538,386.85,23.1
307,0.7842,8.14,81.7,21.0,14.67,4.2579,5.99,0.538,386.75,17.5
307,0.80271,8.14,36.6,21.0,11.69,3.7965,5.456,0.538,288.99,20.2
307,0.7258,8.14,69.5,21.0,11.28,3.7965,5.727,0.538,390.95,18.2
307,1.25179,8.14,98.1,21.0,21.02,3.7979,5.57,0.538,376.57,13.6
307,0.85204,8.14,89.2,21.0,13.83,4.0123,5.965,0.538,392.53,19.6
307,1.23247,8.14,91.7,21.0,18.72,3.9769,6.142,0.538,396.9,15.2
307,0.98843,8.14,100.0,21.0,19.88,4.0952,5.813,0.538,394.54,14.5
307,0.75026,8.14,94.1,21.0,16.3,4.3996,5.924,0.538,394.33,15.6
307,0.84054,8.14,85.7,21.0,16.51,4.4546,5.599,0.538,303.42,13.9
307,0.67191,8.14,90.3,21.0,14.81,4.682,5.813,0.538,376.88,16.6
307,0.95577,8.14,88.8,21.0,17.28,4.4534,6.047,0.538,306.38,14.8
307,0.77299,8.14,94.4,21.0,12.8,4.4547,6.495,0.538,387.94,18.4
307,1.00245,8.14,87.3,21.0,11.98,4.239,6.674,0.538,380.23,21.0
307,1.13081,8.14,94.1,21.0,22.6,4.233,5.713,0.538,360.17,12.7
307,1.35472,8.14,100.0,21.0,13.04,4.175,6.072,0.538,376.73,14.5
307,1.38799,8.14,82.0,21.0,27.71,3.99,5.95,0.538,232.6,13.2
307,1.15172,8.14,95.0,21.0,18.35,3.7872,5.701,0.538,358.77,13.1
307,1.61282,8.14,96.9,21.0,20.34,3.7598,6.096,0.538,248.31,13.5
279,0.08014,5.96,41.5,19.2,8.77,3.9342,5.85,0.499,396.9,21.0
279,0.17505,5.96,30.2,19.2,10.13,3.8473,5.966,0.499,393.43,24.7
252,0.02763,2.95,21.8,18.3,4.32,5.4011,6.595,0.428,395.63,30.8
252,0.03359,2.95,15.8,18.3,1.98,5.4011,7.024,0.428,395.62,34.9
233,0.12744,6.91,2.9,17.9,4.84,5.7209,6.77,0.448,385.41,26.6
233,0.1415,6.91,6.6,17.9,5.81,5.7209,6.169,0.448,383.37,25.3
233,0.12269,6.91,40.0,17.9,9.55,5.7209,6.069,0.448,389.39,21.2
233,0.17142,6.91,33.8,17.9,10.21,5.1004,5.682,0.448,396.9,19.3
233,0.18836,6.91,33.3,17.9,14.15,5.1004,5.786,0.448,396.9,20.0
233,0.25387,6.91,95.3,17.9,30.81,5.87,5.399,0.448,396.9,14.4
233,0.21977,6.91,62.0,17.9,16.2,6.0877,5.602,0.448,396.9,19.4
243,0.08873,5.64,45.7,16.8,13.45,6.8147,5.963,0.439,395.56,19.7
243,0.0536,5.64,21.1,16.8,5.28,6.8147,6.511,0.439,396.9,25.0
469,0.0136,4.0,47.6,21.1,14.8,7.3197,5.888,0.41,396.9,18.9
226,0.01311,1.22,21.9,17.9,4.81,8.6966,7.249,0.403,395.93,35.4
313,0.02055,0.74,35.7,17.3,5.77,9.1876,6.383,0.41,396.9,24.7
256,0.01432,1.32,40.5,15.1,3.95,8.3248,6.816,0.411,392.9,31.6
284,0.15445,5.13,29.2,19.7,6.86,7.8148,6.145,0.453,390.68,23.3
284,0.10328,5.13,47.2,19.7,9.22,6.932,5.927,0.453,396.9,19.6
284,0.14932,5.13,66.2,19.7,13.15,7.2254,5.741,0.453,395.11,18.7
284,0.17171,5.13,93.4,19.7,14.44,6.8185,5.966,0.453,378.08,16.0
284,0.11027,5.13,67.8,19.7,6.73,7.2255,6.456,0.453,396.9,22.2
284,0.1265,5.13,43.4,19.7,9.5,7.9809,6.762,0.453,395.58,25.0
216,0.01951,1.38,59.5,18.6,8.05,9.2229,7.104,0.4161,393.24,33.0
337,0.03584,3.37,17.8,16.1,4.67,6.6115,6.29,0.398,396.9,23.5
337,0.04379,3.37,31.1,16.1,10.24,6.6115,5.787,0.398,396.9,19.4
345,0.05789,6.07,21.4,18.9,8.1,6.498,5.878,0.409,396.21,22.0
345,0.13554,6.07,36.8,18.9,13.09,6.498,5.594,0.409,396.9,17.4
345,0.12816,6.07,33.0,18.9,8.79,6.498,5.885,0.409,396.9,20.9
305,0.08826,10.81,6.6,19.2,6.72,5.2873,6.417,0.413,383.73,24.2
305,0.15876,10.81,17.5,19.2,9.88,5.2873,5.961,0.413,376.94,21.7
305,0.09164,10.81,7.8,19.2,5.52,5.2873,6.065,0.413,390.91,22.8
398,0.09512,12.83,45.0,18.7,8.94,4.5026,6.286,0.437,383.23,21.4
398,0.10153,12.83,74.5,18.7,11.97,4.0522,6.279,0.437,373.66,20.0
